Previous period: 2014-03-16 to 2020-03-14
Current period: 2020-03-14 to 2026-03-13

Fetching user first contributions...
Fetching activities since 2014-03-16...

============================================================
RETENTION OF NEWCOMERS
============================================================
Total newcomers: 824
Retained: 34
Retention rate: 4.1%

Newcomers:
  silentFred           | First: 2017-07-04 | Latest: 2018-07-16 | Current activities:  0 | ❌ Not retained
  sincang              | First: 2017-12-14 | Latest: 2018-03-11 | Current activities:  0 | ❌ Not retained
  thomasdarimont       | First: 2015-08-03 | Latest: 2015-12-18 | Current activities:  0 | ❌ Not retained
  tobiasflohre         | First: 2014-12-19 | Latest: 2016-03-04 | Current activities:  0 | ❌ Not retained
  weeniearms           | First: 2016-10-11 | Latest: 2016-10-11 | Current activities:  0 | ❌ Not retained
  yleguern             | First: 2018-11-16 | Latest: 2019-12-04 | Current activities:  0 | ❌ Not retained
  zqr95518             | First: 2018-12-03 | Latest: 2019-08-06 | Current activities:  0 | ❌ Not retained
  zurhan               | First: 2018-07-18 | Latest: 2019-05-16 | Current activities:  0 | ❌ Not retained
  Adhders              | First: 2019-11-01 | Latest: 2019-11-04 | Current activities:  0 | ❌ Not retained
  Antauri              | First: 2016-07-05 | Latest: 2016-07-27 | Current activities:  0 | ❌ Not retained
  Ben-Mark             | First: 2019-02-16 | Latest: 2019-02-16 | Current activities:  0 | ❌ Not retained
  ChenZheOnePiece      | First: 2019-12-24 | Latest: 2019-12-24 | Current activities:  0 | ❌ Not retained
  Controlix            | First: 2016-05-19 | Latest: 2016-07-04 | Current activities:  0 | ❌ Not retained
  David-A-Phillips     | First: 2017-01-11 | Latest: 2017-01-11 | Current activities:  0 | ❌ Not retained
  Erlix322             | First: 2018-04-03 | Latest: 2018-04-03 | Current activities:  0 | ❌ Not retained
  FengRi               | First: 2017-07-07 | Latest: 2017-07-10 | Current activities:  0 | ❌ Not retained
  GuoxinL              | First: 2018-02-24 | Latest: 2018-03-14 | Current activities:  0 | ❌ Not retained
  HaojunRen            | First: 2018-10-19 | Latest: 2020-09-11 | Current activities:  1 | ✅ RETAINED
  JefersonOC           | First: 2016-12-08 | Latest: 2017-05-02 | Current activities:  0 | ❌ Not retained
  Kishn0211            | First: 2019-01-11 | Latest: 2019-01-29 | Current activities:  0 | ❌ Not retained
  MALPI                | First: 2018-09-11 | Latest: 2018-09-12 | Current activities:  0 | ❌ Not retained
  MichaelF25           | First: 2015-05-11 | Latest: 2015-05-18 | Current activities:  0 | ❌ Not retained
  Nepxion              | First: 2018-08-03 | Latest: 2018-08-03 | Current activities:  0 | ❌ Not retained
  PBondugula           | First: 2017-03-23 | Latest: 2017-04-19 | Current activities:  0 | ❌ Not retained
  Yvan0329             | First: 2018-07-04 | Latest: 2018-07-04 | Current activities:  0 | ❌ Not retained
  abhaylangoti         | First: 2017-07-29 | Latest: 2017-08-08 | Current activities:  0 | ❌ Not retained
  andrashatvani        | First: 2018-04-24 | Latest: 2018-04-24 | Current activities:  0 | ❌ Not retained
  andreasevers         | First: 2015-09-14 | Latest: 2016-10-12 | Current activities:  0 | ❌ Not retained
  andyd2002            | First: 2018-02-16 | Latest: 2020-02-01 | Current activities:  0 | ❌ Not retained
  andyzhaozhao         | First: 2019-12-24 | Latest: 2019-12-26 | Current activities:  0 | ❌ Not retained
  ashwgupt             | First: 2017-01-31 | Latest: 2017-02-21 | Current activities:  0 | ❌ Not retained
  aweigold             | First: 2018-11-12 | Latest: 2019-01-06 | Current activities:  0 | ❌ Not retained
  azizabah             | First: 2017-09-18 | Latest: 2019-05-20 | Current activities:  0 | ❌ Not retained
  based2               | First: 2018-04-30 | Latest: 2018-05-11 | Current activities:  0 | ❌ Not retained
  beanball             | First: 2016-12-05 | Latest: 2017-02-06 | Current activities:  0 | ❌ Not retained
  bensonHe             | First: 2018-03-30 | Latest: 2018-04-02 | Current activities:  0 | ❌ Not retained
  bisegni              | First: 2018-04-20 | Latest: 2018-04-26 | Current activities:  0 | ❌ Not retained
  biwugang             | First: 2018-04-21 | Latest: 2018-09-27 | Current activities:  0 | ❌ Not retained
  bjoernb94            | First: 2018-10-09 | Latest: 2019-07-04 | Current activities:  0 | ❌ Not retained
  britter              | First: 2015-02-26 | Latest: 2015-02-27 | Current activities:  0 | ❌ Not retained
  brunolellis          | First: 2018-07-10 | Latest: 2018-07-10 | Current activities:  0 | ❌ Not retained
  bsideup              | First: 2015-02-11 | Latest: 2015-02-11 | Current activities:  0 | ❌ Not retained
  chinahappyking       | First: 2016-12-26 | Latest: 2017-03-23 | Current activities:  0 | ❌ Not retained
  chrisschauer         | First: 2016-03-02 | Latest: 2016-03-31 | Current activities:  0 | ❌ Not retained
  chunzhenzyd          | First: 2018-11-19 | Latest: 2018-11-20 | Current activities:  0 | ❌ Not retained
  codingDriver         | First: 2019-04-24 | Latest: 2020-05-13 | Current activities:  1 | ✅ RETAINED
  dchack               | First: 2018-04-28 | Latest: 2018-07-19 | Current activities:  0 | ❌ Not retained
  deathdric            | First: 2018-06-26 | Latest: 2018-07-16 | Current activities:  0 | ❌ Not retained
  dhruv-bansal         | First: 2017-09-02 | Latest: 2017-09-02 | Current activities:  0 | ❌ Not retained
  dsushil2000          | First: 2017-12-27 | Latest: 2017-12-27 | Current activities:  0 | ❌ Not retained
  dtitov               | First: 2019-09-06 | Latest: 2019-09-09 | Current activities:  0 | ❌ Not retained
  edeandrea            | First: 2018-08-29 | Latest: 2018-08-30 | Current activities:  0 | ❌ Not retained
  fastnsilver          | First: 2015-11-25 | Latest: 2017-11-17 | Current activities:  0 | ❌ Not retained
  fethiozdol           | First: 2018-07-29 | Latest: 2018-07-29 | Current activities:  0 | ❌ Not retained
  fionera              | First: 2018-09-23 | Latest: 2020-03-05 | Current activities:  0 | ❌ Not retained
  gauravjavadeveloper  | First: 2018-05-09 | Latest: 2018-05-12 | Current activities:  0 | ❌ Not retained
