Previous period: 2014-03-16 to 2020-03-14
Current period: 2020-03-14 to 2026-03-13

Fetching user first contributions...
Fetching activities since 2014-03-16...

============================================================
RETENTION OF NEWCOMERS
============================================================
Total newcomers: 142
Retained: 9
Retention rate: 6.3%

Newcomers:
  michl-b              | First: 2017-08-05 | Latest: 2017-08-05 | Current activities:  0 | ❌ Not retained
  movitz-s             | First: 2018-12-27 | Latest: 2018-12-27 | Current activities:  0 | ❌ Not retained
  mrmercc              | First: 2020-02-28 | Latest: 2020-02-28 | Current activities:  0 | ❌ Not retained
  mzorba               | First: 2018-12-08 | Latest: 2018-12-08 | Current activities:  0 | ❌ Not retained
  n0mer                | First: 2017-03-20 | Latest: 2017-03-20 | Current activities:  0 | ❌ Not retained
  ogennadi             | First: 2019-08-02 | Latest: 2019-08-02 | Current activities:  0 | ❌ Not retained
  panchenko            | First: 2019-06-18 | Latest: 2019-06-18 | Current activities:  0 | ❌ Not retained
  phiber               | First: 2018-08-16 | Latest: 2018-08-16 | Current activities:  0 | ❌ Not retained
  pierrickrouxel       | First: 2019-08-07 | Latest: 2019-08-07 | Current activities:  0 | ❌ Not retained
  reckter              | First: 2016-08-10 | Latest: 2016-08-10 | Current activities:  0 | ❌ Not retained
  retbrown             | First: 2015-10-20 | Latest: 2015-10-20 | Current activities:  0 | ❌ Not retained
  rfelgent             | First: 2016-11-16 | Latest: 2016-11-16 | Current activities:  0 | ❌ Not retained
  ricardolonga         | First: 2014-11-07 | Latest: 2014-11-07 | Current activities:  0 | ❌ Not retained
  rimaxime             | First: 2017-03-14 | Latest: 2017-03-14 | Current activities:  0 | ❌ Not retained
  rpahli               | First: 2017-02-25 | Latest: 2017-02-25 | Current activities:  0 | ❌ Not retained
  sbert                | First: 2015-03-27 | Latest: 2015-03-27 | Current activities:  0 | ❌ Not retained
  selimok              | First: 2018-11-08 | Latest: 2018-11-08 | Current activities:  0 | ❌ Not retained
  shashidarp           | First: 2017-11-03 | Latest: 2017-11-03 | Current activities:  0 | ❌ Not retained
  shershen08           | First: 2019-01-18 | Latest: 2019-01-18 | Current activities:  0 | ❌ Not retained
  simo385              | First: 2018-10-31 | Latest: 2018-10-31 | Current activities:  0 | ❌ Not retained
  src-r-r              | First: 2018-06-18 | Latest: 2018-06-18 | Current activities:  0 | ❌ Not retained
  sverhagen            | First: 2019-07-20 | Latest: 2019-07-20 | Current activities:  0 | ❌ Not retained
  t-beckmann           | First: 2019-01-29 | Latest: 2019-01-29 | Current activities:  0 | ❌ Not retained
  tapbooth             | First: 2020-03-13 | Latest: 2020-03-13 | Current activities:  0 | ❌ Not retained
  tehcyx               | First: 2015-08-19 | Latest: 2015-08-19 | Current activities:  0 | ❌ Not retained
  the-james-burton     | First: 2015-08-13 | Latest: 2015-08-13 | Current activities:  0 | ❌ Not retained
  thomasNDS            | First: 2019-07-12 | Latest: 2019-07-12 | Current activities:  0 | ❌ Not retained
  thorntonrp           | First: 2018-08-03 | Latest: 2018-08-03 | Current activities:  0 | ❌ Not retained
  tokuhirom            | First: 2020-02-27 | Latest: 2020-02-27 | Current activities:  0 | ❌ Not retained
  tomdantuit           | First: 2017-11-17 | Latest: 2017-11-17 | Current activities:  0 | ❌ Not retained
