Since            : 2014-01-01 (users with last contribution before this date are dropped)
Leaving threshold: last contribution before 2025-12-20 (90 days ago)

============================================================
NEWCOMER CLASSIFICATION
============================================================
Total newcomers : 1276
Active          : 12 (1%)
Leaving         : 1264 (99%)

Newcomers:
  mayureshharsha                 | First: 2018-12-09 | Last: 2018-12-12 | LEAVING
  Nalha                          | First: 2018-12-11 | Last: 2018-12-11 | LEAVING
  lian88jian                     | First: 2018-12-10 | Last: 2018-12-10 | LEAVING
  mzorba                         | First: 2018-12-08 | Last: 2018-12-08 | LEAVING
  rahul34167                     | First: 2018-12-05 | Last: 2018-12-05 | LEAVING
  Nihulrawat                     | First: 2018-12-04 | Last: 2018-12-04 | LEAVING
  deamon999                      | First: 2018-12-03 | Last: 2018-12-03 | LEAVING
  wzslw                          | First: 2018-12-03 | Last: 2018-12-03 | LEAVING
  wanghongenpin                  | First: 2018-11-28 | Last: 2018-11-28 | LEAVING
  dzonekl                        | First: 2018-11-27 | Last: 2018-11-27 | LEAVING
  masbaehr                       | First: 2018-11-25 | Last: 2018-11-25 | LEAVING
  phil-schneider                 | First: 2018-11-23 | Last: 2018-11-23 | LEAVING
  EstebanDugueperoux2            | First: 2018-11-21 | Last: 2018-11-21 | LEAVING
  chunzhenzyd                    | First: 2018-11-19 | Last: 2018-11-20 | LEAVING
  krysto                         | First: 2018-11-20 | Last: 2018-11-20 | LEAVING
  liyj144                        | First: 2018-11-17 | Last: 2018-11-17 | LEAVING
  zhaoshenhao                    | First: 2018-11-12 | Last: 2018-11-14 | LEAVING
  mattwmj                        | First: 2018-11-14 | Last: 2018-11-14 | LEAVING
  thokuest                       | First: 2018-11-12 | Last: 2018-11-12 | LEAVING
  nwhessel                       | First: 2018-11-10 | Last: 2018-11-10 | LEAVING
  dickerpulli                    | First: 2014-11-16 | Last: 2018-11-09 | LEAVING
  kna0085                        | First: 2018-11-09 | Last: 2018-11-09 | LEAVING
  yiyuzhou                       | First: 2018-11-08 | Last: 2018-11-08 | LEAVING
  HaAlex                         | First: 2018-11-07 | Last: 2018-11-07 | LEAVING
  ckoutsouridis                  | First: 2018-11-06 | Last: 2018-11-06 | LEAVING
  wtatum                         | First: 2018-11-06 | Last: 2018-11-06 | LEAVING
  jameycai                       | First: 2018-11-02 | Last: 2018-11-02 | LEAVING
  simo385                        | First: 2018-10-19 | Last: 2018-10-31 | LEAVING
  jyothirmai999                  | First: 2018-10-31 | Last: 2018-10-31 | LEAVING
  slindenberg                    | First: 2018-10-27 | Last: 2018-10-27 | LEAVING
  nishantgpt                     | First: 2018-10-26 | Last: 2018-10-26 | LEAVING
  Gompangs                       | First: 2018-10-24 | Last: 2018-10-24 | LEAVING
  ptlive1001                     | First: 2018-10-23 | Last: 2018-10-23 | LEAVING
  wuntervision                   | First: 2018-10-19 | Last: 2018-10-19 | LEAVING
  Jiao-Di                        | First: 2018-10-18 | Last: 2018-10-18 | LEAVING
  apoorvGupta1492                | First: 2018-10-15 | Last: 2018-10-15 | LEAVING
  xiaoyu10714024                 | First: 2018-10-15 | Last: 2018-10-15 | LEAVING
  gtukmachev                     | First: 2018-10-13 | Last: 2018-10-13 | LEAVING
  prafsoni                       | First: 2018-06-19 | Last: 2018-10-08 | LEAVING
  jochenchrist                   | First: 2018-10-08 | Last: 2018-10-08 | LEAVING
  rafgitdz                       | First: 2018-10-08 | Last: 2018-10-08 | LEAVING
  FedorRomanov                   | First: 2018-10-04 | Last: 2018-10-04 | LEAVING
  feicipet                       | First: 2018-10-04 | Last: 2018-10-04 | LEAVING
  alfonz19                       | First: 2018-10-02 | Last: 2018-10-02 | LEAVING
  lomboz                         | First: 2018-10-01 | Last: 2018-10-01 | LEAVING
  re-imagined                    | First: 2018-09-29 | Last: 2018-09-29 | LEAVING
  biwugang                       | First: 2018-04-21 | Last: 2018-09-27 | LEAVING
  tookar                         | First: 2018-09-27 | Last: 2018-09-27 | LEAVING
  qwwfxl                         | First: 2018-09-26 | Last: 2018-09-26 | LEAVING
  lilaizhencn                    | First: 2018-07-24 | Last: 2018-09-25 | LEAVING
  znevrly                        | First: 2018-09-24 | Last: 2018-09-24 | LEAVING
  iamazy                         | First: 2018-09-23 | Last: 2018-09-23 | LEAVING
  sandyjohn                      | First: 2018-08-30 | Last: 2018-09-18 | LEAVING
  aaaaaaanthony                  | First: 2018-09-17 | Last: 2018-09-17 | LEAVING
  deniswsrosa                    | First: 2018-09-17 | Last: 2018-09-17 | LEAVING
  readazusa                      | First: 2018-09-17 | Last: 2018-09-17 | LEAVING
  zzd0058                        | First: 2018-09-17 | Last: 2018-09-17 | LEAVING
  mfrehe                         | First: 2018-09-14 | Last: 2018-09-14 | LEAVING
  MALPI                          | First: 2018-09-11 | Last: 2018-09-12 | LEAVING
  eduardocintra                  | First: 2018-09-05 | Last: 2018-09-10 | LEAVING
  huang054                       | First: 2018-09-10 | Last: 2018-09-10 | LEAVING
  semeiser                       | First: 2016-03-24 | Last: 2018-09-07 | LEAVING
  ArloL                          | First: 2018-09-06 | Last: 2018-09-06 | LEAVING
  fabadoo                        | First: 2018-09-06 | Last: 2018-09-06 | LEAVING
  datasmurfen                    | First: 2018-09-05 | Last: 2018-09-05 | LEAVING
  kivens                         | First: 2018-09-04 | Last: 2018-09-04 | LEAVING
  anandvarkeyphilips             | First: 2018-08-29 | Last: 2018-09-01 | LEAVING
  edeandrea                      | First: 2018-08-29 | Last: 2018-08-30 | LEAVING
  alexwais                       | First: 2018-08-30 | Last: 2018-08-30 | LEAVING
  shakuzen                       | First: 2014-11-06 | Last: 2018-08-29 | LEAVING
  bhagyaperera123                | First: 2018-08-07 | Last: 2018-08-28 | LEAVING
  liushirong                     | First: 2018-08-28 | Last: 2018-08-28 | LEAVING
  snicoll                        | First: 2018-08-28 | Last: 2018-08-28 | LEAVING
  solangesv                      | First: 2018-08-28 | Last: 2018-08-28 | LEAVING
  AaronChen2012                  | First: 2018-08-27 | Last: 2018-08-27 | LEAVING
  JakubKrhovjak                  | First: 2017-05-19 | Last: 2018-08-25 | LEAVING
  murilolocatelli                | First: 2018-08-22 | Last: 2018-08-22 | LEAVING
  GreatGarlic                    | First: 2018-08-21 | Last: 2018-08-21 | LEAVING
  mossad-zika                    | First: 2018-08-21 | Last: 2018-08-21 | LEAVING
  wenhsh                         | First: 2018-08-21 | Last: 2018-08-21 | LEAVING
  chorishepas                    | First: 2018-08-20 | Last: 2018-08-20 | LEAVING
  dmitrysenkovich                | First: 2018-08-19 | Last: 2018-08-19 | LEAVING
  raees-abbas                    | First: 2018-08-17 | Last: 2018-08-17 | LEAVING
  JavierSegoviaCordoba           | First: 2018-08-12 | Last: 2018-08-16 | LEAVING
  phiber                         | First: 2018-08-16 | Last: 2018-08-16 | LEAVING
  TheScientist                   | First: 2018-08-15 | Last: 2018-08-15 | LEAVING
  joelroyer                      | First: 2018-08-08 | Last: 2018-08-08 | LEAVING
  wvanvlaenderen                 | First: 2018-08-06 | Last: 2018-08-06 | LEAVING
  bumbarashka                    | First: 2018-08-05 | Last: 2018-08-05 | LEAVING
  Nepxion                        | First: 2018-08-03 | Last: 2018-08-03 | LEAVING
  thorntonrp                     | First: 2018-08-03 | Last: 2018-08-03 | LEAVING
  VishalPrajapti7036             | First: 2018-08-03 | Last: 2018-08-03 | LEAVING
  RemiBou                        | First: 2018-08-02 | Last: 2018-08-02 | LEAVING
  hirohe                         | First: 2018-08-02 | Last: 2018-08-02 | LEAVING
  jochenhebbrecht                | First: 2018-08-01 | Last: 2018-08-01 | LEAVING
  jofisiva                       | First: 2018-08-01 | Last: 2018-08-01 | LEAVING
  fethiozdol                     | First: 2018-07-29 | Last: 2018-07-29 | LEAVING
  turbid-frost                   | First: 2018-07-28 | Last: 2018-07-28 | LEAVING
  MrBogue                        | First: 2018-07-27 | Last: 2018-07-27 | LEAVING
  595979101                      | First: 2018-07-26 | Last: 2018-07-26 | LEAVING
  shsamkit                       | First: 2018-07-26 | Last: 2018-07-26 | LEAVING
  nick-yegw                      | First: 2018-07-25 | Last: 2018-07-25 | LEAVING
  fanticat                       | First: 2018-07-24 | Last: 2018-07-24 | LEAVING
  renzhichaos                    | First: 2018-07-23 | Last: 2018-07-23 | LEAVING
  tiarebalbi                     | First: 2018-07-21 | Last: 2018-07-21 | LEAVING
  shixueshang                    | First: 2018-07-19 | Last: 2018-07-20 | LEAVING
  dchack                         | First: 2018-04-28 | Last: 2018-07-19 | LEAVING
  Pramy                          | First: 2018-07-18 | Last: 2018-07-18 | LEAVING
  altfatterz                     | First: 2018-07-18 | Last: 2018-07-18 | LEAVING
  t1ernan                        | First: 2018-07-17 | Last: 2018-07-17 | LEAVING
  silentFred                     | First: 2017-07-04 | Last: 2018-07-16 | LEAVING
  deathdric                      | First: 2018-06-26 | Last: 2018-07-16 | LEAVING
  anandsunderraman               | First: 2018-07-16 | Last: 2018-07-16 | LEAVING
  Mike-the-one                   | First: 2018-07-05 | Last: 2018-07-11 | LEAVING
  VosAmoWho                      | First: 2018-07-11 | Last: 2018-07-11 | LEAVING
  brunolellis                    | First: 2018-07-10 | Last: 2018-07-10 | LEAVING
  cherrishccl                    | First: 2018-07-10 | Last: 2018-07-10 | LEAVING
  monsif                         | First: 2018-06-05 | Last: 2018-07-09 | LEAVING
  bclozel                        | First: 2018-07-05 | Last: 2018-07-05 | LEAVING
  Yvan0329                       | First: 2018-07-04 | Last: 2018-07-04 | LEAVING
  lianglinux5                    | First: 2018-07-04 | Last: 2018-07-04 | LEAVING
  diaowenyang                    | First: 2018-07-03 | Last: 2018-07-03 | LEAVING
  temofey1989                    | First: 2018-07-02 | Last: 2018-07-02 | LEAVING
  getalphacode                   | First: 2018-06-29 | Last: 2018-06-29 | LEAVING
  ricefish888                    | First: 2018-06-29 | Last: 2018-06-29 | LEAVING
  vir2610                        | First: 2018-06-29 | Last: 2018-06-29 | LEAVING
  illingtonFlex                  | First: 2018-06-25 | Last: 2018-06-28 | LEAVING
  hellotoworld                   | First: 2018-06-28 | Last: 2018-06-28 | LEAVING
  ADeane6                        | First: 2018-06-25 | Last: 2018-06-25 | LEAVING
  wenjiech                       | First: 2018-06-21 | Last: 2018-06-21 | LEAVING
  murphp15                       | First: 2018-06-20 | Last: 2018-06-20 | LEAVING
  Stephan202                     | First: 2018-06-18 | Last: 2018-06-18 | LEAVING
  chhorz                         | First: 2018-06-18 | Last: 2018-06-18 | LEAVING
  src-r-r                        | First: 2018-06-18 | Last: 2018-06-18 | LEAVING
  indraneelb1903                 | First: 2018-05-15 | Last: 2018-06-17 | LEAVING
  vxavictor513                   | First: 2018-06-17 | Last: 2018-06-17 | LEAVING
  GertVil                        | First: 2018-05-14 | Last: 2018-06-15 | LEAVING
  anandreddyakidi                | First: 2018-06-12 | Last: 2018-06-12 | LEAVING
  noahlann                       | First: 2018-06-12 | Last: 2018-06-12 | LEAVING
  nWidart                        | First: 2018-06-09 | Last: 2018-06-09 | LEAVING
  iBryan99                       | First: 2018-06-08 | Last: 2018-06-08 | LEAVING
  vladimirvilinski               | First: 2018-06-08 | Last: 2018-06-08 | LEAVING
  Jnosh                          | First: 2018-06-07 | Last: 2018-06-07 | LEAVING
  holger82                       | First: 2018-06-06 | Last: 2018-06-06 | LEAVING
  nperry0                        | First: 2018-06-06 | Last: 2018-06-06 | LEAVING
  pc-cchandragiri                | First: 2018-06-06 | Last: 2018-06-06 | LEAVING
  shmilyah                       | First: 2018-06-06 | Last: 2018-06-06 | LEAVING
  starslau                       | First: 2018-06-06 | Last: 2018-06-06 | LEAVING
  fbvarnier                      | First: 2018-06-05 | Last: 2018-06-05 | LEAVING
  geniusit                       | First: 2018-06-05 | Last: 2018-06-05 | LEAVING
  deyanTG                        | First: 2018-05-31 | Last: 2018-05-31 | LEAVING
  qiubigbig                      | First: 2018-05-31 | Last: 2018-05-31 | LEAVING
  tetsushiawano                  | First: 2018-01-29 | Last: 2018-05-30 | LEAVING
  javanan                        | First: 2017-06-13 | Last: 2018-05-30 | LEAVING
  zlj66888                       | First: 2018-05-30 | Last: 2018-05-30 | LEAVING
  kunliu81                       | First: 2018-05-29 | Last: 2018-05-29 | LEAVING
  himnay                         | First: 2018-05-25 | Last: 2018-05-25 | LEAVING
  sluglit                        | First: 2018-05-25 | Last: 2018-05-25 | LEAVING
  yangjiamu                      | First: 2018-05-25 | Last: 2018-05-25 | LEAVING
  ExtremeYu                      | First: 2017-05-08 | Last: 2018-05-23 | LEAVING
  lidkowiak                      | First: 2015-08-21 | Last: 2018-05-23 | LEAVING
  cy1ng                          | First: 2018-05-23 | Last: 2018-05-23 | LEAVING
  summonwurm                     | First: 2018-05-23 | Last: 2018-05-23 | LEAVING
  Nivedan3112                    | First: 2017-10-24 | Last: 2018-05-22 | LEAVING
  mrcasablr                      | First: 2018-05-21 | Last: 2018-05-21 | LEAVING
  he-jialin2                     | First: 2018-05-17 | Last: 2018-05-17 | LEAVING
  cameno94                       | First: 2018-05-14 | Last: 2018-05-14 | LEAVING
  gauravjavadeveloper            | First: 2018-05-09 | Last: 2018-05-13 | LEAVING
  based2                         | First: 2018-05-01 | Last: 2018-05-11 | LEAVING
  Chhotesh                       | First: 2018-05-09 | Last: 2018-05-09 | LEAVING
  gmcouto                        | First: 2018-05-04 | Last: 2018-05-04 | LEAVING
  stdupanda                      | First: 2018-05-04 | Last: 2018-05-04 | LEAVING
  jliuold                        | First: 2018-05-03 | Last: 2018-05-03 | LEAVING
  geirgp                         | First: 2018-05-02 | Last: 2018-05-02 | LEAVING
  1140920375                     | First: 2018-04-28 | Last: 2018-04-28 | LEAVING
  iamjohnwang                    | First: 2018-04-28 | Last: 2018-04-28 | LEAVING
  Ikki-Dai                       | First: 2018-04-27 | Last: 2018-04-27 | LEAVING
  chenxiangning                  | First: 2018-04-27 | Last: 2018-04-27 | LEAVING
  italokrenak                    | First: 2018-04-27 | Last: 2018-04-27 | LEAVING
  bisegni                        | First: 2018-04-20 | Last: 2018-04-26 | LEAVING
  RoonyLi                        | First: 2018-04-25 | Last: 2018-04-25 | LEAVING
  andreyzhm                      | First: 2018-04-25 | Last: 2018-04-25 | LEAVING
  sheiy                          | First: 2018-04-25 | Last: 2018-04-25 | LEAVING
  andrashatvani                  | First: 2018-04-24 | Last: 2018-04-24 | LEAVING
  matthjes                       | First: 2018-04-06 | Last: 2018-04-24 | LEAVING
  Tumeloq                        | First: 2018-04-23 | Last: 2018-04-23 | LEAVING
  matskr90dev                    | First: 2018-04-21 | Last: 2018-04-21 | LEAVING
  fakarakas                      | First: 2018-04-20 | Last: 2018-04-20 | LEAVING
  82398485                       | First: 2018-04-18 | Last: 2018-04-18 | LEAVING
  marifsami                      | First: 2018-04-17 | Last: 2018-04-17 | LEAVING
  RostyslavPaliuha               | First: 2018-04-12 | Last: 2018-04-12 | LEAVING
  n0mer                          | First: 2014-11-20 | Last: 2018-04-11 | LEAVING
  Himly1                         | First: 2018-04-11 | Last: 2018-04-11 | LEAVING
  srep2512                       | First: 2018-04-11 | Last: 2018-04-11 | LEAVING
  mbaris                         | First: 2018-04-06 | Last: 2018-04-06 | LEAVING
  kevin-peters                   | First: 2018-03-30 | Last: 2018-04-05 | LEAVING
  Erlix322                       | First: 2018-04-03 | Last: 2018-04-03 | LEAVING
  bensonHe                       | First: 2018-03-30 | Last: 2018-04-02 | LEAVING
  marioconforti                  | First: 2018-03-30 | Last: 2018-03-30 | LEAVING
  crusi                          | First: 2018-03-29 | Last: 2018-03-29 | LEAVING
  tjuchniewicz                   | First: 2016-05-17 | Last: 2018-03-28 | LEAVING
  yazhishu                       | First: 2018-03-28 | Last: 2018-03-28 | LEAVING
  ajits5                         | First: 2018-03-26 | Last: 2018-03-26 | LEAVING
  piaohao                        | First: 2018-03-26 | Last: 2018-03-26 | LEAVING
  iGitHubJ                       | First: 2018-03-22 | Last: 2018-03-22 | LEAVING
  iNikem                         | First: 2018-03-22 | Last: 2018-03-22 | LEAVING
  crossoverJie                   | First: 2018-03-21 | Last: 2018-03-21 | LEAVING
  shekharDivyanshu               | First: 2018-03-21 | Last: 2018-03-21 | LEAVING
  GuoxinL                        | First: 2018-02-24 | Last: 2018-03-14 | LEAVING
  saty-tech-master               | First: 2018-03-14 | Last: 2018-03-14 | LEAVING
  sruthi-kotla                   | First: 2018-03-14 | Last: 2018-03-14 | LEAVING
  NOdysseyN                      | First: 2018-03-13 | Last: 2018-03-13 | LEAVING
  sincang                        | First: 2017-12-14 | Last: 2018-03-11 | LEAVING
  Hronom                         | First: 2018-03-11 | Last: 2018-03-11 | LEAVING
  didiez                         | First: 2018-03-09 | Last: 2018-03-09 | LEAVING
  weixsun                        | First: 2018-03-09 | Last: 2018-03-09 | LEAVING
  Danepic                        | First: 2018-03-08 | Last: 2018-03-08 | LEAVING
  nycLive                        | First: 2018-03-08 | Last: 2018-03-08 | LEAVING
  jt0526                         | First: 2018-03-07 | Last: 2018-03-07 | LEAVING
  gauravspatel                   | First: 2018-03-05 | Last: 2018-03-05 | LEAVING
  jtwalraven                     | First: 2018-03-03 | Last: 2018-03-03 | LEAVING
  forGitMeNotPlease              | First: 2018-03-01 | Last: 2018-03-01 | LEAVING
  PC-Chiu                        | First: 2018-02-28 | Last: 2018-02-28 | LEAVING
  manojuk                        | First: 2018-02-21 | Last: 2018-02-21 | LEAVING
  shshankar1                     | First: 2018-02-21 | Last: 2018-02-21 | LEAVING
  RawSanj                        | First: 2018-02-09 | Last: 2018-02-09 | LEAVING
  charlbrink                     | First: 2018-02-08 | Last: 2018-02-08 | LEAVING
  anxpp                          | First: 2018-02-05 | Last: 2018-02-05 | LEAVING
  harishkadamudi                 | First: 2018-02-02 | Last: 2018-02-02 | LEAVING
  bas-jan                        | First: 2018-02-01 | Last: 2018-02-01 | LEAVING
  martinblaustein                | First: 2018-02-01 | Last: 2018-02-01 | LEAVING
  lishengsam                     | First: 2018-01-30 | Last: 2018-01-30 | LEAVING
  salomon1184                    | First: 2018-01-30 | Last: 2018-01-30 | LEAVING
  gasperlf                       | First: 2018-01-29 | Last: 2018-01-29 | LEAVING
  HJK181                         | First: 2018-01-26 | Last: 2018-01-26 | LEAVING
  iamnotgay                      | First: 2018-01-26 | Last: 2018-01-26 | LEAVING
  wavicle                        | First: 2018-01-23 | Last: 2018-01-23 | LEAVING
  kumarganesh2814                | First: 2018-01-12 | Last: 2018-01-12 | LEAVING
  joshlong                       | First: 2018-01-11 | Last: 2018-01-11 | LEAVING
  wangjia2016                    | First: 2018-01-10 | Last: 2018-01-10 | LEAVING
  mrumpf                         | First: 2015-06-16 | Last: 2018-01-09 | LEAVING
  waterlufei                     | First: 2017-12-30 | Last: 2017-12-30 | LEAVING
  Jarvens                        | First: 2017-12-28 | Last: 2017-12-28 | LEAVING
  iris-8                         | First: 2017-12-28 | Last: 2017-12-28 | LEAVING
  yuniorb                        | First: 2017-12-28 | Last: 2017-12-28 | LEAVING
  dsushil2000                    | First: 2017-12-27 | Last: 2017-12-27 | LEAVING
  wonwoo                         | First: 2017-12-27 | Last: 2017-12-27 | LEAVING
  wylovejzj                      | First: 2017-12-26 | Last: 2017-12-26 | LEAVING
  masoudsoha                     | First: 2017-12-24 | Last: 2017-12-24 | LEAVING
  jmichelgarcia                  | First: 2017-12-16 | Last: 2017-12-16 | LEAVING
  christianf2029                 | First: 2017-08-25 | Last: 2017-12-12 | LEAVING
  jmardis10                      | First: 2017-12-07 | Last: 2017-12-07 | LEAVING
  matt-shaw                      | First: 2017-12-06 | Last: 2017-12-06 | LEAVING
  dimazig                        | First: 2017-12-04 | Last: 2017-12-04 | LEAVING
  bhrgv-bolla                    | First: 2017-11-30 | Last: 2017-11-30 | LEAVING
  caoyongviper                   | First: 2017-11-30 | Last: 2017-11-30 | LEAVING
  zeroonead                      | First: 2017-11-30 | Last: 2017-11-30 | LEAVING
  armdev                         | First: 2017-11-27 | Last: 2017-11-27 | LEAVING
  sdhery                         | First: 2017-11-27 | Last: 2017-11-27 | LEAVING
  yarinzimmerman                 | First: 2017-11-27 | Last: 2017-11-27 | LEAVING
  kryger                         | First: 2017-11-24 | Last: 2017-11-24 | LEAVING
  perdonare                      | First: 2017-11-23 | Last: 2017-11-23 | LEAVING
  archenroot                     | First: 2017-11-18 | Last: 2017-11-18 | LEAVING
  fastnsilver                    | First: 2015-11-25 | Last: 2017-11-17 | LEAVING
  shpetimshala                   | First: 2017-11-16 | Last: 2017-11-16 | LEAVING
  matthiaswessel                 | First: 2017-11-14 | Last: 2017-11-14 | LEAVING
  ctoestreich                    | First: 2017-04-27 | Last: 2017-11-10 | LEAVING
  xiezhaofeng                    | First: 2017-11-10 | Last: 2017-11-10 | LEAVING
  shashidarp                     | First: 2017-11-03 | Last: 2017-11-03 | LEAVING
  shruti1735                     | First: 2017-11-02 | Last: 2017-11-02 | LEAVING
  mohita123                      | First: 2017-10-23 | Last: 2017-10-26 | LEAVING
  humb1t                         | First: 2017-10-24 | Last: 2017-10-24 | LEAVING
  lemonprogis                    | First: 2017-10-18 | Last: 2017-10-18 | LEAVING
  htynkn                         | First: 2016-07-16 | Last: 2017-10-15 | LEAVING
  995270418L                     | First: 2017-10-14 | Last: 2017-10-14 | LEAVING
  zhangjianbinJAVA               | First: 2017-07-07 | Last: 2017-10-12 | LEAVING
  hamsaparam                     | First: 2017-10-10 | Last: 2017-10-10 | LEAVING
  zense10827                     | First: 2017-10-04 | Last: 2017-10-04 | LEAVING
  Pytry                          | First: 2017-09-29 | Last: 2017-09-29 | LEAVING
  dbcall2                        | First: 2017-09-28 | Last: 2017-09-28 | LEAVING
  letientai299                   | First: 2017-09-28 | Last: 2017-09-28 | LEAVING
  talbert83                      | First: 2017-09-27 | Last: 2017-09-27 | LEAVING
  fibers                         | First: 2017-09-27 | Last: 2017-09-27 | LEAVING
  selske                         | First: 2017-09-27 | Last: 2017-09-27 | LEAVING
  colaru                         | First: 2017-09-21 | Last: 2017-09-21 | LEAVING
  xujijun                        | First: 2017-09-14 | Last: 2017-09-14 | LEAVING
  juzsal                         | First: 2017-09-13 | Last: 2017-09-13 | LEAVING
  szabolcsgnr                    | First: 2017-09-12 | Last: 2017-09-12 | LEAVING
  sundylgz                       | First: 2017-09-11 | Last: 2017-09-11 | LEAVING
  tootscharlie                   | First: 2017-09-09 | Last: 2017-09-09 | LEAVING
  alvescastro001                 | First: 2017-09-07 | Last: 2017-09-07 | LEAVING
  chhonker                       | First: 2017-09-07 | Last: 2017-09-07 | LEAVING
  sunnykaka                      | First: 2017-09-07 | Last: 2017-09-07 | LEAVING
  xiangyq000                     | First: 2017-09-07 | Last: 2017-09-07 | LEAVING
  danic21                        | First: 2017-09-06 | Last: 2017-09-06 | LEAVING
  workcheng                      | First: 2017-09-06 | Last: 2017-09-06 | LEAVING
  dhruv-bansal                   | First: 2017-09-02 | Last: 2017-09-02 | LEAVING
  anarwal27                      | First: 2017-08-30 | Last: 2017-08-30 | LEAVING
  hotstepper13                   | First: 2017-08-25 | Last: 2017-08-28 | LEAVING
  lijie121210                    | First: 2017-08-17 | Last: 2017-08-24 | LEAVING
  JWThewes                       | First: 2017-02-16 | Last: 2017-08-23 | LEAVING
  frkautz                        | First: 2017-08-23 | Last: 2017-08-23 | LEAVING
  amitshukla30                   | First: 2017-08-21 | Last: 2017-08-21 | LEAVING
  astrayon                       | First: 2017-08-18 | Last: 2017-08-18 | LEAVING
  venkattarigopula               | First: 2017-08-18 | Last: 2017-08-18 | LEAVING
  wzl1990                        | First: 2017-01-11 | Last: 2017-08-17 | LEAVING
  gunjank                        | First: 2017-08-12 | Last: 2017-08-16 | LEAVING
  SoberChina                     | First: 2017-05-16 | Last: 2017-08-14 | LEAVING
  balasubramanip                 | First: 2017-08-11 | Last: 2017-08-11 | LEAVING
  Hublo22                        | First: 2016-12-28 | Last: 2017-08-10 | LEAVING
  anderius                       | First: 2016-10-31 | Last: 2017-08-08 | LEAVING
  abhaylangoti                   | First: 2017-07-29 | Last: 2017-08-08 | LEAVING
  melbichon                      | First: 2017-08-07 | Last: 2017-08-07 | LEAVING
  michl-b                        | First: 2017-08-05 | Last: 2017-08-05 | LEAVING
  cj-egidijus-vaisnora           | First: 2017-08-01 | Last: 2017-08-01 | LEAVING
  noxtr                          | First: 2017-07-31 | Last: 2017-07-31 | LEAVING
  manjunadh                      | First: 2017-07-04 | Last: 2017-07-27 | LEAVING
  malijagadish                   | First: 2017-07-26 | Last: 2017-07-26 | LEAVING
  jeff-leo                       | First: 2017-07-24 | Last: 2017-07-24 | LEAVING
  w3blogfr                       | First: 2017-07-23 | Last: 2017-07-23 | LEAVING
  ktlim86                        | First: 2017-07-20 | Last: 2017-07-20 | LEAVING
  ulysses-you                    | First: 2017-07-20 | Last: 2017-07-20 | LEAVING
  enayet-repo                    | First: 2017-07-18 | Last: 2017-07-18 | LEAVING
  junegod                        | First: 2017-07-17 | Last: 2017-07-17 | LEAVING
  suimi                          | First: 2017-07-17 | Last: 2017-07-17 | LEAVING
  deepank-sharma                 | First: 2017-07-14 | Last: 2017-07-14 | LEAVING
  willome                        | First: 2017-07-13 | Last: 2017-07-13 | LEAVING
  schmidp                        | First: 2017-07-12 | Last: 2017-07-12 | LEAVING
  FengRi                         | First: 2017-07-07 | Last: 2017-07-10 | LEAVING
  peter-ponzel                   | First: 2017-07-07 | Last: 2017-07-07 | LEAVING
  hsoftxl                        | First: 2017-01-12 | Last: 2017-07-03 | LEAVING
  dsu                            | First: 2017-06-30 | Last: 2017-06-30 | LEAVING
  yxtwang                        | First: 2017-06-30 | Last: 2017-06-30 | LEAVING
  michalwojciechowski            | First: 2017-06-29 | Last: 2017-06-29 | LEAVING
  rahul-kaup                     | First: 2017-06-29 | Last: 2017-06-29 | LEAVING
  szisti                         | First: 2017-06-28 | Last: 2017-06-28 | LEAVING
  damianfanaro                   | First: 2017-06-27 | Last: 2017-06-27 | LEAVING
  EliaRohana                     | First: 2017-06-25 | Last: 2017-06-25 | LEAVING
  urswiss                        | First: 2017-06-21 | Last: 2017-06-21 | LEAVING
  buddymilford                   | First: 2017-06-16 | Last: 2017-06-16 | LEAVING
  mstommes                       | First: 2017-01-06 | Last: 2017-06-09 | LEAVING
  agraphilippe                   | First: 2017-06-06 | Last: 2017-06-06 | LEAVING
  jguidoux                       | First: 2017-06-02 | Last: 2017-06-02 | LEAVING
  radutoev                       | First: 2017-06-01 | Last: 2017-06-01 | LEAVING
  wo8335224                      | First: 2017-06-01 | Last: 2017-06-01 | LEAVING
  wlami                          | First: 2017-05-30 | Last: 2017-05-30 | LEAVING
  micheljung                     | First: 2017-05-26 | Last: 2017-05-26 | LEAVING
  surajrrao                      | First: 2016-12-05 | Last: 2017-05-23 | LEAVING
  wangjishan                     | First: 2017-05-18 | Last: 2017-05-18 | LEAVING
  serhiikartashov                | First: 2017-05-18 | Last: 2017-05-18 | LEAVING
  sba-123                        | First: 2017-05-17 | Last: 2017-05-17 | LEAVING
  acherla                        | First: 2017-05-16 | Last: 2017-05-16 | LEAVING
  fernandosure                   | First: 2017-05-16 | Last: 2017-05-16 | LEAVING
  wyzssw                         | First: 2017-05-14 | Last: 2017-05-14 | LEAVING
  jmirc                          | First: 2017-05-13 | Last: 2017-05-13 | LEAVING
  dvtoever                       | First: 2017-05-12 | Last: 2017-05-12 | LEAVING
  zhangxd1989                    | First: 2017-05-10 | Last: 2017-05-10 | LEAVING
  jochenwierum                   | First: 2017-05-07 | Last: 2017-05-07 | LEAVING
  mrmarbles                      | First: 2017-05-05 | Last: 2017-05-05 | LEAVING
  JefersonOC                     | First: 2016-12-08 | Last: 2017-05-02 | LEAVING
  benson0217                     | First: 2017-04-25 | Last: 2017-04-25 | LEAVING
  PBondugula                     | First: 2017-03-23 | Last: 2017-04-19 | LEAVING
