Since            : 2014-01-01 (users with last contribution before this date are dropped)
Leaving threshold: last contribution before 2025-12-20 (90 days ago)

============================================================
NEWCOMER CLASSIFICATION
============================================================
Total newcomers : 1276
Active          : 12 (1%)
Leaving         : 1264 (99%)

Newcomers:
  FabioAng71                     | First: 2023-05-31 | Last: 2023-05-31 | LEAVING
  doubleDimple                   | First: 2023-05-31 | Last: 2023-05-31 | LEAVING
  chenzl123                      | First: 2023-05-04 | Last: 2023-05-12 | LEAVING
  karl-chanel                    | First: 2023-05-05 | Last: 2023-05-12 | LEAVING
  Tancen                         | First: 2023-05-06 | Last: 2023-05-06 | LEAVING
  HuMan008                       | First: 2023-05-05 | Last: 2023-05-05 | LEAVING
  rainerfrey-inxmail             | First: 2022-11-29 | Last: 2023-05-04 | LEAVING
  pnewhook                       | First: 2023-04-21 | Last: 2023-04-21 | LEAVING
  chazhiguo                      | First: 2023-04-20 | Last: 2023-04-20 | LEAVING
  Saljack                        | First: 2023-04-16 | Last: 2023-04-16 | LEAVING
  scipionyx                      | First: 2023-04-15 | Last: 2023-04-15 | LEAVING
  zhangbinhub                    | First: 2020-09-15 | Last: 2023-04-11 | LEAVING
  LukasSmrcka                    | First: 2023-04-03 | Last: 2023-04-03 | LEAVING
  Sainir1                        | First: 2023-03-28 | Last: 2023-03-28 | LEAVING
  Naebl1s                        | First: 2023-02-28 | Last: 2023-03-20 | LEAVING
  adsinghnet                     | First: 2023-03-18 | Last: 2023-03-18 | LEAVING
  MorganArthur                   | First: 2021-07-16 | Last: 2023-03-15 | LEAVING
  kana-cr                        | First: 2023-03-15 | Last: 2023-03-15 | LEAVING
  belovaf                        | First: 2021-09-29 | Last: 2023-03-14 | LEAVING
  cwienands1                     | First: 2023-03-09 | Last: 2023-03-09 | LEAVING
  andmer                         | First: 2023-03-02 | Last: 2023-03-02 | LEAVING
  Tobisaninfo                    | First: 2021-04-24 | Last: 2023-02-26 | LEAVING
  joshiste                       | First: 2014-09-15 | Last: 2023-02-23 | LEAVING
  929541303                      | First: 2023-02-08 | Last: 2023-02-08 | LEAVING
  pierrepinon                    | First: 2023-01-31 | Last: 2023-01-31 | LEAVING
  georgerocha                    | First: 2023-01-12 | Last: 2023-01-27 | LEAVING
  nbadenne                       | First: 2023-01-23 | Last: 2023-01-23 | LEAVING
  ghost                          | First: 2015-05-13 | Last: 2023-01-21 | LEAVING
  ddebree                        | First: 2019-07-19 | Last: 2023-01-18 | LEAVING
  mirza-ali-ctct                 | First: 2023-01-17 | Last: 2023-01-17 | LEAVING
  bjab                           | First: 2023-01-11 | Last: 2023-01-11 | LEAVING
  lhy507613824                   | First: 2023-01-10 | Last: 2023-01-10 | LEAVING
  qqhai007                       | First: 2022-04-06 | Last: 2023-01-03 | LEAVING
  ChristophEbbers                | First: 2023-01-03 | Last: 2023-01-03 | LEAVING
  yellowms                       | First: 2022-12-25 | Last: 2022-12-25 | LEAVING
  1Ghub                          | First: 2022-12-24 | Last: 2022-12-24 | LEAVING
  dbarnhoorn                     | First: 2022-12-23 | Last: 2022-12-23 | LEAVING
  dragosnutu                     | First: 2022-12-20 | Last: 2022-12-20 | LEAVING
  azemliankin                    | First: 2022-12-16 | Last: 2022-12-16 | LEAVING
  EyedPeas                       | First: 2022-11-22 | Last: 2022-12-12 | LEAVING
  Fuud                           | First: 2022-03-10 | Last: 2022-12-10 | LEAVING
  ztomic                         | First: 2022-01-18 | Last: 2022-12-05 | LEAVING
  robtha                         | First: 2022-12-02 | Last: 2022-12-02 | LEAVING
  SeongEon-Jo                    | First: 2022-12-01 | Last: 2022-12-01 | LEAVING
  HaalandCR                      | First: 2022-11-30 | Last: 2022-11-30 | LEAVING
  huyu6                          | First: 2022-11-22 | Last: 2022-11-22 | LEAVING
  MichaelZett                    | First: 2022-11-18 | Last: 2022-11-18 | LEAVING
  Dam14n                         | First: 2022-11-15 | Last: 2022-11-15 | LEAVING
  edgaryeghiazarian              | First: 2022-11-15 | Last: 2022-11-15 | LEAVING
  zgqq                           | First: 2022-11-11 | Last: 2022-11-11 | LEAVING
  tonycody                       | First: 2022-11-01 | Last: 2022-11-01 | LEAVING
  niceyou99                      | First: 2022-10-31 | Last: 2022-10-31 | LEAVING
  thomaszub                      | First: 2022-04-05 | Last: 2022-10-27 | LEAVING
  TinyZzh                        | First: 2022-10-26 | Last: 2022-10-26 | LEAVING
  wojciechGaudnik                | First: 2022-10-26 | Last: 2022-10-26 | LEAVING
  hellozhangjian                 | First: 2022-10-25 | Last: 2022-10-25 | LEAVING
  sweeterBox                     | First: 2022-10-20 | Last: 2022-10-20 | LEAVING
  ChinaJeckXu                    | First: 2020-11-23 | Last: 2022-10-14 | LEAVING
