============================================================
NEWCOMER CLASSIFICATION
============================================================
Description      : Classification of newcomers who made their first
                   pull contribution between 2014-01-01 and 2026-03-20.
                   A newcomer is considered LEAVING when their last
                   contribution was more than 90 days ago
                   (i.e. before 2025-12-20), ACTIVE otherwise.
Contribution type: pull
Threshold        : 90 days (leaving cutoff: 2025-12-20)
============================================================
Total newcomers  : 244
Active           : 5 (2%)
Leaving          : 239 (98%)
============================================================

Newcomers:
  dvtoever                       | First: 2017-05-12 | Last: 2017-05-12 | LEAVING
  jochenwierum                   | First: 2017-05-07 | Last: 2017-05-07 | LEAVING
  ctoestreich                    | First: 2017-05-05 | Last: 2017-05-05 | LEAVING
  JefersonOC                     | First: 2016-12-08 | Last: 2017-05-02 | LEAVING
  n0mer                          | First: 2017-03-20 | Last: 2017-03-20 | LEAVING
  Satangelsx                     | First: 2017-03-18 | Last: 2017-03-18 | LEAVING
  rimaxime                       | First: 2017-03-14 | Last: 2017-03-14 | LEAVING
  zhangwei5095                   | First: 2017-03-03 | Last: 2017-03-03 | LEAVING
  rpahli                         | First: 2017-02-25 | Last: 2017-02-25 | LEAVING
  itERRatOR                      | First: 2017-02-15 | Last: 2017-02-15 | LEAVING
  mikexliu                       | First: 2016-07-15 | Last: 2017-02-09 | LEAVING
  David-A-Phillips               | First: 2017-01-11 | Last: 2017-01-11 | LEAVING
  jacks808                       | First: 2016-11-18 | Last: 2016-11-18 | LEAVING
  rfelgent                       | First: 2016-11-16 | Last: 2016-11-16 | LEAVING
  dilbertside                    | First: 2016-11-14 | Last: 2016-11-14 | LEAVING
  weeniearms                     | First: 2016-10-11 | Last: 2016-10-11 | LEAVING
  zilm13                         | First: 2016-10-11 | Last: 2016-10-11 | LEAVING
  jlisam                         | First: 2016-09-30 | Last: 2016-09-30 | LEAVING
  reckter                        | First: 2016-08-10 | Last: 2016-08-10 | LEAVING
  gbotka                         | First: 2016-07-28 | Last: 2016-07-28 | LEAVING
  herder                         | First: 2016-06-10 | Last: 2016-06-10 | LEAVING
  steve-oakey                    | First: 2015-05-01 | Last: 2016-06-03 | LEAVING
  arturdobo                      | First: 2016-04-12 | Last: 2016-04-12 | LEAVING
  ukjbrown                       | First: 2016-03-14 | Last: 2016-03-14 | LEAVING
  BenoitCharret                  | First: 2016-03-02 | Last: 2016-03-02 | LEAVING
  chrisschauer                   | First: 2016-03-02 | Last: 2016-03-02 | LEAVING
  jvmlet                         | First: 2016-02-16 | Last: 2016-02-16 | LEAVING
  RobWin                         | First: 2014-11-12 | Last: 2016-02-12 | LEAVING
  retbrown                       | First: 2015-10-20 | Last: 2015-10-20 | LEAVING
  mersal-svds                    | First: 2015-09-25 | Last: 2015-09-26 | LEAVING
  librucha                       | First: 2015-09-11 | Last: 2015-09-22 | LEAVING
  tehcyx                         | First: 2015-08-19 | Last: 2015-08-19 | LEAVING
  the-james-burton               | First: 2015-08-13 | Last: 2015-08-13 | LEAVING
  klu2                           | First: 2015-06-28 | Last: 2015-06-28 | LEAVING
  gronono                        | First: 2015-06-05 | Last: 2015-06-05 | LEAVING
  teggr                          | First: 2015-04-01 | Last: 2015-04-16 | LEAVING
  sbert                          | First: 2015-03-27 | Last: 2015-03-27 | LEAVING
  britter                        | First: 2015-02-27 | Last: 2015-02-27 | LEAVING
  dgomesbr                       | First: 2015-02-26 | Last: 2015-02-26 | LEAVING
  mariuszluciow                  | First: 2015-01-19 | Last: 2015-01-19 | LEAVING
  malike                         | First: 2015-01-13 | Last: 2015-01-13 | LEAVING
  ajausti1                       | First: 2015-01-09 | Last: 2015-01-09 | LEAVING
  gitter-badger                  | First: 2014-11-29 | Last: 2014-11-29 | LEAVING
  ricardolonga                   | First: 2014-11-07 | Last: 2014-11-07 | LEAVING
  making                         | First: 2014-09-29 | Last: 2014-09-29 | LEAVING
